Title,ISBN,Genre,Author,Cost
Alice's Adventures in Wonderland,1000,Fantasy,Lewis Carroll,28.99
The Picture of Dorian Gray,1001,Fantasy,Oscar Wilde,11.99
A Christmas Carol,1002,Fantasy,Charles Dickens,8.99
Robinson Crusoe,1003,Fantasy,Daniel Defoe,16.99
The Wonderful Wizard of Oz,1004,Fantasy,L. Frank Baum,15.99
Treasure Island,1005,Fantasy,Robert Stevenson,15.99
Gulliver's Travels,1006,Fantasy,Jonathan Swift,12.99
The Call of the Wild,1007,Fantasy,Jack London,11.99
The Secret Garden,1008,Fantasy,Frances Burnett,29.99
A Midsummer Night's Dream,1009,Fantasy,William Shakespeare,25.99
The Prince,1010,Fantasy,Niccolo Machiavelli,10.99
Through the Looking-Glass,1011,Fantasy,Lewis Carroll,26.99
The Wind in the Willows,1012,Fantasy,Kenneth Grahame,21.99
Anne of Green Gables,1013,Fantasy,Lucy Maud Montgomery,9.99
The Great Gatsby,1014,Fantasy,F. Scott Fitzgerald,8.99
The Time Machine,1015,Fantasy,H. G. Wells,10.99
Moby Dick,1016,Fantasy,Herman Melville,14.99
The Man Who Was Thursday,1017,Fantasy,Gilbert Chesterton,15.99
King Solomon's Mines,1018,Fantasy,H. Rider Haggard,24.99
The Legend of Sleepy Hollow,1019,Fantasy,Washington Irving,27.99
Die Verwandlung,1020,Fantasy,Franz Kafka,8.99
Five Children and It,1021,Fantasy,Edith Nesbit,25.99
